
. Module name, LUTS, REGISTERS, SYNC RAMS, DSP48
.	.	.	.	.	. A10a_3, 0, 4, 0, 0
.	.	.	.	. A1867b, 10, 1, 0, 0
.	.	.	.	. A186a0, 35, 2, 0, 0
.	.	.	.	. A186a0_1, 36, 2, 0, 0
.	.	.	.	. A45, 8, 4, 0, 0
.	.	.	.	. A7f, 332, 280, 0, 0
.	.	.	. cr_tcipif_top, 675, 367, 0, 1
.	.	.	.	. cr_clic_top, 627, 315, 0, 0
.	.	.	.	.	. cr_clic_arb, 285, 34, 0, 0
.	.	.	.	.	. cr_clic_kid, 1, 4, 0, 0
.	.	.	.	.	. cr_clic_kid_0, 1, 4, 0, 0
.	.	.	.	.	. cr_clic_kid_1, 1, 4, 0, 0
.	.	.	.	.	. cr_clic_kid_10, 1, 4, 0, 0
.	.	.	.	.	. cr_clic_kid_11, 1, 4, 0, 0
.	.	.	.	.	. cr_clic_kid_12, 1, 4, 0, 0
.	.	.	.	.	. cr_clic_kid_13, 1, 4, 0, 0
.	.	.	.	.	. cr_clic_kid_14, 1, 4, 0, 0
.	.	.	.	.	. cr_clic_kid_15, 1, 4, 0, 0
.	.	.	.	.	. cr_clic_kid_16, 1, 4, 0, 0
.	.	.	.	.	. cr_clic_kid_17, 1, 4, 0, 0
.	.	.	.	.	. cr_clic_kid_18, 1, 4, 0, 0
.	.	.	.	.	. cr_clic_kid_19, 1, 4, 0, 0
.	.	.	.	.	. cr_clic_kid_2, 1, 4, 0, 0
.	.	.	.	.	. cr_clic_kid_20, 1, 4, 0, 0
.	.	.	.	.	. cr_clic_kid_21, 1, 4, 0, 0
.	.	.	.	.	. cr_clic_kid_22, 1, 4, 0, 0
.	.	.	.	.	. cr_clic_kid_23, 1, 4, 0, 0
.	.	.	.	.	. cr_clic_kid_24, 1, 4, 0, 0
.	.	.	.	.	. cr_clic_kid_25, 1, 4, 0, 0
.	.	.	.	.	. cr_clic_kid_26, 1, 4, 0, 0
.	.	.	.	.	. cr_clic_kid_27, 1, 4, 0, 0
.	.	.	.	.	. cr_clic_kid_28, 1, 4, 0, 0
.	.	.	.	.	. cr_clic_kid_29, 1, 4, 0, 0
.	.	.	.	.	. cr_clic_kid_3, 1, 4, 0, 0
.	.	.	.	.	. cr_clic_kid_30, 1, 4, 0, 0
.	.	.	.	.	. cr_clic_kid_31, 1, 4, 0, 0
.	.	.	.	.	. cr_clic_kid_32, 1, 4, 0, 0
.	.	.	.	.	. cr_clic_kid_33, 1, 4, 0, 0
.	.	.	.	.	. cr_clic_kid_34, 1, 4, 0, 0
.	.	.	.	.	. cr_clic_kid_35, 1, 4, 0, 0
.	.	.	.	.	. cr_clic_kid_36, 1, 4, 0, 0
.	.	.	.	.	. cr_clic_kid_37, 1, 4, 0, 0
.	.	.	.	.	. cr_clic_kid_4, 1, 4, 0, 0
.	.	.	.	.	. cr_clic_kid_5, 1, 4, 0, 0
.	.	.	.	.	. cr_clic_kid_6, 1, 4, 0, 0
.	.	.	.	.	. cr_clic_kid_60, 2, 5, 0, 0
.	.	.	.	.	. cr_clic_kid_60_24, 2, 5, 0, 0
.	.	.	.	.	. cr_clic_kid_60_25, 2, 5, 0, 0
.	.	.	.	.	. cr_clic_kid_60_26, 2, 5, 0, 0
.	.	.	.	.	. cr_clic_kid_60_27, 2, 5, 0, 0
.	.	.	.	.	. cr_clic_kid_60_28, 2, 5, 0, 0
.	.	.	.	.	. cr_clic_kid_60_29, 2, 5, 0, 0
.	.	.	.	.	. cr_clic_kid_60_30, 2, 5, 0, 0
.	.	.	.	.	. cr_clic_kid_60_31, 2, 5, 0, 0
.	.	.	.	.	. cr_clic_kid_60_32, 2, 5, 0, 0
.	.	.	.	.	. cr_clic_kid_60_33, 1, 5, 0, 0
.	.	.	.	.	. cr_clic_kid_60_34, 2, 5, 0, 0
.	.	.	.	.	. cr_clic_kid_60_35, 2, 5, 0, 0
.	.	.	.	.	. cr_clic_kid_60_36, 2, 5, 0, 0
.	.	.	.	.	. cr_clic_kid_60_37, 2, 5, 0, 0
.	.	.	.	.	. cr_clic_kid_60_38, 2, 5, 0, 0
.	.	.	.	.	. cr_clic_kid_60_39, 2, 5, 0, 0
.	.	.	.	.	. cr_clic_kid_60_40, 2, 5, 0, 0
.	.	.	.	.	. cr_clic_kid_60_41, 2, 5, 0, 0
.	.	.	.	.	. cr_clic_kid_60_42, 2, 5, 0, 0
.	.	.	.	.	. cr_clic_kid_60_43, 2, 5, 0, 0
.	.	.	.	.	. cr_clic_kid_60_44, 2, 5, 0, 0
.	.	.	.	.	. cr_clic_kid_60_45, 1, 5, 0, 0
.	.	.	.	.	. cr_clic_kid_60_46, 2, 5, 0, 0
.	.	.	.	.	. cr_clic_kid_60_47, 1, 5, 0, 0
.	.	.	.	.	. cr_clic_kid_7, 1, 4, 0, 0
.	.	.	.	.	. cr_clic_kid_8, 1, 4, 0, 0
.	.	.	.	.	. cr_clic_kid_9, 1, 4, 0, 0
.	.	.	.	.	. cr_clic_reg_if, 256, 0, 0, 0
.	.	.	.	. cr_coretim_top, 31, 32, 0, 1
.	.	.	.	. cr_tcipif_behavior_bus, 17, 19, 0, 0
.	.	.	.	. cr_tcipif_dummy_bus, 0, 1, 0, 0
.	. pdu_top, 21237, 10987, 0, 0
.	.	. ahb_matrix_top, 12781, 4765, 0, 0
.	.	.	. ahb_matrix_7_12_main, 1694, 264, 0, 0
.	.	.	.	. ahb_matrix_7_12_arb, 708, 150, 0, 0
.	.	.	.	. ahb_matrix_7_12_dec, 986, 114, 0, 0
.	.	.	. dmac_top, 11087, 4501, 0, 0
.	.	.	.	. arb_ctrl, 88, 33, 0, 0
.	.	.	.	.	. chntrg_latch, 1, 1, 0, 0
.	.	.	.	.	. chntrg_latch_0, 1, 1, 0, 0
.	.	.	.	.	. chntrg_latch_1, 1, 1, 0, 0
.	.	.	.	.	. chntrg_latch_10, 1, 1, 0, 0
.	.	.	.	.	. chntrg_latch_11, 1, 1, 0, 0
.	.	.	.	.	. chntrg_latch_12, 1, 1, 0, 0
.	.	.	.	.	. chntrg_latch_13, 1, 1, 0, 0
.	.	.	.	.	. chntrg_latch_14, 1, 1, 0, 0
.	.	.	.	.	. chntrg_latch_2, 1, 1, 0, 0
.	.	.	.	.	. chntrg_latch_3, 1, 1, 0, 0
.	.	.	.	.	. chntrg_latch_4, 1, 1, 0, 0
.	.	.	.	.	. chntrg_latch_5, 1, 1, 0, 0
.	.	.	.	.	. chntrg_latch_6, 1, 1, 0, 0
.	.	.	.	.	. chntrg_latch_7, 1, 1, 0, 0
.	.	.	.	.	. chntrg_latch_8, 1, 1, 0, 0
.	.	.	.	.	. chntrg_latch_9, 1, 1, 0, 0
.	.	.	.	.	. hpchn_decd, 18, 0, 0, 0
.	.	.	.	. bmux_ctrl, 585, 18, 0, 0
.	.	.	.	. ch_ctrl, 8621, 2207, 0, 0
.	.	.	.	.	. fsmc_30, 559, 137, 0, 0
.	.	.	.	.	. fsmc_30_0, 516, 138, 0, 0
.	.	.	.	.	. fsmc_30_1, 529, 138, 0, 0
.	.	.	.	.	. fsmc_30_10, 566, 138, 0, 0
.	.	.	.	.	. fsmc_30_11, 518, 138, 0, 0
.	.	.	.	.	. fsmc_30_12, 549, 138, 0, 0
.	.	.	.	.	. fsmc_30_13, 541, 138, 0, 0
.	.	.	.	.	. fsmc_30_14, 540, 138, 0, 0
.	.	.	.	.	. fsmc_30_2, 532, 138, 0, 0
.	.	.	.	.	. fsmc_30_3, 563, 138, 0, 0
.	.	.	.	.	. fsmc_30_4, 532, 138, 0, 0
.	.	.	.	.	. fsmc_30_5, 546, 138, 0, 0
.	.	.	.	.	. fsmc_30_6, 541, 138, 0, 0
.	.	.	.	.	. fsmc_30_7, 540, 138, 0, 0
.	.	.	.	.	. fsmc_30_8, 505, 138, 0, 0
.	.	.	.	.	. fsmc_30_9, 544, 138, 0, 0
.	.	.	.	. reg_ctrl, 1793, 2243, 0, 0
.	.	.	.	.	. chregc0, 85, 137, 0, 0
.	.	.	.	.	. chregc1, 94, 139, 0, 0
.	.	.	.	.	. chregc10, 73, 139, 0, 0
.	.	.	.	.	. chregc11, 73, 139, 0, 0
.	.	.	.	.	. chregc12, 70, 139, 0, 0
.	.	.	.	.	. chregc13, 70, 139, 0, 0
.	.	.	.	.	. chregc14, 68, 139, 0, 0
.	.	.	.	.	. chregc15, 73, 139, 0, 0
.	.	.	.	.	. chregc2, 72, 139, 0, 0
.	.	.	.	.	. chregc3, 69, 139, 0, 0
.	.	.	.	.	. chregc4, 68, 139, 0, 0
.	.	.	.	.	. chregc5, 71, 139, 0, 0
.	.	.	.	.	. chregc6, 68, 139, 0, 0
.	.	.	.	.	. chregc7, 71, 139, 0, 0
.	.	.	.	.	. chregc8, 68, 139, 0, 0
.	.	.	.	.	. chregc9, 66, 139, 0, 0
.	.	.	.	.	. gbregc, 196, 5, 0, 0
.	.	. apb0_sub_top, 6350, 4801, 0, 0
.	.	.	. csky_apb0_top, 123, 104, 0, 0
.	.	.	.	. apb0_leaf_mux, 108, 0, 0, 0
.	.	.	.	. apb0_state_ctrl, 15, 104, 0, 0
.	.	.	. pwm_sec_top, 3379, 2760, 0, 0
.	.	.	.	. pwm, 3379, 2760, 0, 0
.	.	.	.	.	. pwm_apbif, 1298, 1461, 0, 0
.	.	.	.	.	. pwm_ctrl, 2081, 1297, 0, 0
.	.	.	.	.	.	. clk_mux2, 1, 0, 0, 0
.	.	.	.	.	.	. pwm_gen_10, 344, 210, 0, 0
.	.	.	.	.	.	. pwm_gen_10_0, 345, 210, 0, 0
.	.	.	.	.	.	. pwm_gen_10_1, 344, 210, 0, 0
.	.	.	.	.	.	. pwm_gen_10_2, 344, 210, 0, 0
.	.	.	.	.	.	. pwm_gen_10_3, 345, 210, 0, 0
.	.	.	.	.	.	. pwm_gen_10_4, 344, 210, 0, 0
.	.	.	. tim0_sec_top, 175, 180, 0, 0
.	.	.	.	. tim_top, 175, 180, 0, 0
.	.	.	.	.	. timers_top, 175, 180, 0, 0
.	.	.	.	.	.	. timers_apbif_7, 93, 110, 0, 0
.	.	.	.	.	.	. timers_frc_32_1_1_14, 41, 35, 0, 0
.	.	.	.	.	.	. timers_frc_32_1_1_8, 41, 35, 0, 0
.	.	.	. tim2_sec_top, 166, 180, 0, 0
.	.	.	.	. tim2_tim_top, 166, 180, 0, 0
.	.	.	.	.	. timers_top_7, 166, 180, 0, 0
.	.	.	.	.	.	. timers_apbif_7_0, 84, 110, 0, 0
.	.	.	.	.	.	. timers_frc_32_1_1_15, 41, 35, 0, 0
.	.	.	.	.	.	. timers_frc_32_1_1_16, 41, 35, 0, 0
.	.	.	. tim4_sec_top, 166, 180, 0, 0
.	.	.	.	. tim4_tim_top, 166, 180, 0, 0
.	.	.	.	.	. timers_top_8, 166, 180, 0, 0
.	.	.	.	.	.	. timers_apbif_7_1, 84, 110, 0, 0
.	.	.	.	.	.	. timers_frc_32_1_1_17, 41, 35, 0, 0
.	.	.	.	.	.	. timers_frc_32_1_1_18, 41, 35, 0, 0
.	.	.	. tim6_sec_top, 166, 180, 0, 0
.	.	.	.	. tim6_tim_top, 166, 180, 0, 0
.	.	.	.	.	. timers_top_9, 166, 180, 0, 0
.	.	.	.	.	.	. timers_apbif_7_2, 84, 110, 0, 0
.	.	.	.	.	.	. timers_frc_32_1_1_19, 41, 35, 0, 0
.	.	.	.	.	.	. timers_frc_32_1_1_20, 41, 35, 0, 0
.	.	.	. usi0_sec_top, 1037, 562, 0, 0
.	.	.	.	. usi_top_4, 1037, 562, 0, 0
.	.	.	.	.	. apb_if_4, 190, 192, 0, 0
.	.	.	.	.	. i2c_top, 440, 136, 0, 0
.	.	.	.	.	.	. i2cm_4, 288, 73, 0, 0
.	.	.	.	.	.	. i2cs, 143, 63, 0, 0
.	.	.	.	.	. sdata_if, 51, 19, 0, 0
.	.	.	.	.	. spi_4, 161, 77, 0, 0
.	.	.	.	.	. sync_fifo_16x16, 30, 21, 0, 0
.	.	.	.	.	. sync_fifo_16x16_2, 31, 20, 0, 0
.	.	.	.	.	. uart, 125, 79, 0, 0
.	.	.	. usi2_sec_top, 999, 562, 0, 0
.	.	.	.	. usi_top_4_0, 999, 562, 0, 0
.	.	.	.	.	. apb_if_4_0, 163, 192, 0, 0
.	.	.	.	.	. i2c_top_2, 431, 136, 0, 0
.	.	.	.	.	.	. i2cm_4_0, 277, 73, 0, 0
.	.	.	.	.	.	. i2cs_2, 145, 63, 0, 0
.	.	.	.	.	. sdata_if_0, 48, 19, 0, 0
.	.	.	.	.	. spi_4_0, 163, 77, 0, 0
.	.	.	.	.	. sync_fifo_16x16_2_0, 31, 20, 0, 0
.	.	.	.	.	. sync_fifo_16x16_3, 30, 21, 0, 0
.	.	.	.	.	. uart_2, 124, 79, 0, 0
.	.	.	. wdt_sec_top, 139, 93, 0, 0
.	.	.	.	. wdt, 139, 93, 0, 0
.	.	.	.	.	. wdt_biu_7, 2, 32, 0, 0
.	.	.	.	.	. wdt_isrc, 60, 43, 0, 0
.	.	.	.	.	.	. wdt_cnt, 41, 33, 0, 0
.	.	.	.	.	.	. wdt_isrg, 19, 10, 0, 0
.	.	.	.	.	. wdt_regfile, 77, 18, 0, 0
.	.	. apb1_sub_top, 1898, 1389, 0, 0
.	.	.	. csky_apb1_top, 186, 107, 0, 0
.	.	.	.	. apb1_leaf_mux, 172, 0, 0, 0
.	.	.	.	. apb1_state_ctrl, 14, 107, 0, 0
.	.	.	. tim1_sec_top, 177, 180, 0, 0
.	.	.	.	. tim1_tim_top, 177, 180, 0, 0
.	.	.	.	.	. timers_top_10, 177, 180, 0, 0
.	.	.	.	.	.	. timers_apbif_7_3, 95, 110, 0, 0
.	.	.	.	.	.	. timers_frc_32_1_1_21, 41, 35, 0, 0
.	.	.	.	.	.	. timers_frc_32_1_1_22, 41, 35, 0, 0
.	.	.	. tim3_sec_top, 168, 180, 0, 0
.	.	.	.	. tim3_tim_top, 168, 180, 0, 0
.	.	.	.	.	. timers_top_11, 168, 180, 0, 0
.	.	.	.	.	.	. timers_apbif_7_4, 86, 110, 0, 0
.	.	.	.	.	.	. timers_frc_32_1_1_23, 41, 35, 0, 0
.	.	.	.	.	.	. timers_frc_32_1_1_24, 41, 35, 0, 0
.	.	.	. tim5_sec_top, 168, 180, 0, 0
.	.	.	.	. tim5_tim_top, 168, 180, 0, 0
.	.	.	.	.	. timers_top_12, 168, 180, 0, 0
.	.	.	.	.	.	. timers_apbif_7_5, 86, 110, 0, 0
.	.	.	.	.	.	. timers_frc_32_1_1_25, 41, 35, 0, 0
.	.	.	.	.	.	. timers_frc_32_1_1_26, 41, 35, 0, 0
.	.	.	. tim7_sec_top, 167, 180, 0, 0
.	.	.	.	. tim7_tim_top, 167, 180, 0, 0
.	.	.	.	.	. timers_top_13, 167, 180, 0, 0
.	.	.	.	.	.	. timers_apbif_7_6, 85, 110, 0, 0
.	.	.	.	.	.	. timers_frc_32_1_1_27, 41, 35, 0, 0
.	.	.	.	.	.	. timers_frc_32_1_1_28, 41, 35, 0, 0
.	.	.	. usi1_sec_top, 1032, 562, 0, 0
.	.	.	.	. usi_top_4_1, 1032, 562, 0, 0
.	.	.	.	.	. apb_if_4_1, 190, 192, 0, 0
.	.	.	.	.	. i2c_top_3, 437, 136, 0, 0
.	.	.	.	.	.	. i2cm_4_1, 286, 73, 0, 0
.	.	.	.	.	.	. i2cs_3, 142, 63, 0, 0
.	.	.	.	.	. sdata_if_1, 50, 19, 0, 0
.	.	.	.	.	. spi_4_1, 161, 77, 0, 0
.	.	.	.	.	. sync_fifo_16x16_2_1, 31, 20, 0, 0
.	.	.	.	.	. sync_fifo_16x16_4, 30, 21, 0, 0
.	.	.	.	.	. uart_3, 124, 79, 0, 0
.	.	. ls_sub_top, 208, 32, 0, 0
.	.	.	. ahb_matrix_1_6_sub, 208, 32, 0, 0
.	.	.	.	. ahb_matrix_1_6_sub_dec, 208, 32, 0, 0
.	. retu_top, 253, 88, 64, 0
.	.	. smu_top, 253, 88, 64, 0
.	.	.	. sms_top, 253, 88, 64, 0
.	.	.	.	. sms_bank_64k_top, 61, 22, 16, 0
.	.	.	.	.	. sms_sms_ahbs_bk2, 40, 21, 0, 0
.	.	.	.	.	. sms_sram_bk2, 21, 1, 16, 0
.	.	.	.	.	.	. fpga_spram_32s_14s_16384s, 0, 0, 16, 0
.	.	.	.	.	.	.	. fpga_byte_spram_14s_8s_16384s, 0, 0, 4, 0
.	.	.	.	.	.	.	. fpga_byte_spram_14s_8s_16384s_0, 0, 0, 4, 0
.	.	.	.	.	.	.	. fpga_byte_spram_14s_8s_16384s_1, 0, 0, 4, 0
.	.	.	.	.	.	.	. fpga_byte_spram_14s_8s_16384s_2, 0, 0, 4, 0
.	.	.	.	. sms_bank_64k_top_0, 57, 22, 16, 0
.	.	.	.	.	. sms_sms_ahbs_bk2_0, 39, 21, 0, 0
.	.	.	.	.	. sms_sram_bk2_3, 18, 1, 16, 0
.	.	.	.	.	.	. fpga_spram_32s_14s_16384s_0, 0, 0, 16, 0
.	.	.	.	.	.	.	. fpga_byte_spram_14s_8s_16384s_3, 0, 0, 4, 0
.	.	.	.	.	.	.	. fpga_byte_spram_14s_8s_16384s_4, 0, 0, 4, 0
.	.	.	.	.	.	.	. fpga_byte_spram_14s_8s_16384s_5, 0, 0, 4, 0
.	.	.	.	.	.	.	. fpga_byte_spram_14s_8s_16384s_6, 0, 0, 4, 0
.	.	.	.	. sms_bank_64k_top_1, 70, 22, 16, 0
.	.	.	.	.	. sms_sms_ahbs_bk2_1, 39, 21, 0, 0
.	.	.	.	.	. sms_sram_bk2_4, 31, 1, 16, 0
.	.	.	.	.	.	. fpga_spram_32s_14s_16384s_1, 0, 0, 16, 0
.	.	.	.	.	.	.	. fpga_byte_spram_14s_8s_16384s_10, 0, 0, 4, 0
.	.	.	.	.	.	.	. fpga_byte_spram_14s_8s_16384s_7, 0, 0, 4, 0
.	.	.	.	.	.	.	. fpga_byte_spram_14s_8s_16384s_8, 0, 0, 4, 0
.	.	.	.	.	.	.	. fpga_byte_spram_14s_8s_16384s_9, 0, 0, 4, 0
.	.	.	.	. sms_bank_64k_top_2, 65, 22, 16, 0
.	.	.	.	.	. sms_sms_ahbs_bk2_2, 41, 21, 0, 0
.	.	.	.	.	. sms_sram_bk2_5, 24, 1, 16, 0
.	.	.	.	.	.	. fpga_spram_32s_14s_16384s_2, 0, 0, 16, 0
.	.	.	.	.	.	.	. fpga_byte_spram_14s_8s_16384s_11, 0, 0, 4, 0
.	.	.	.	.	.	.	. fpga_byte_spram_14s_8s_16384s_12, 0, 0, 4, 0
.	.	.	.	.	.	.	. fpga_byte_spram_14s_8s_16384s_13, 0, 0, 4, 0
.	.	.	.	.	.	.	. fpga_byte_spram_14s_8s_16384s_14, 0, 0, 4, 0
